DAQ Input,Location x,Location y,Location z
1W-2_01,107.7,133.5,1
1W-2_02,108.4,132.2,1
1W-2_03,109,133.3,1
1W-2_04,102.3,189.3,1
1W-2_05,103.2,187.8,1
1W-2_06,104.1,189.1,1
1W-2_07,37.8,205,1
1W-2_08,39,203.3,1
1W-2_09,39.8,204.9,1
1W-2_10,84.5,109.3,1
1W-2_11,85.7,107.5,1
1W-2_12,86.7,109.3,1
1W-2_13,76.2,150.6,1
1W-2_14,77.2,149,1
1W-2_15,78.1,150.7,1
1W-2_16,39,38.3,1
1W-3_01,39.6,37,1
1W-3_02,40.3,38.2,1
1W-3_03,73.3,52,1
1W-3_04,74.6,53.6,1
1E-2_01,133.7,43.4,1
1E-2_02,134.6,41.9,1
1E-2_03,135.2,43.3,1
1E-2_04,228.3,52.6,1
1E-2_05,229.2,51,1
1E-2_06,230,52.7,1
1E-2_07,212.4,122.2,1
1E-2_08,213.2,120.8,1
1E-2_09,213.9,122.3,1
1E-2_10,149.2,122.6,1
1E-2_11,150,121.2,1
1E-2_12,150.8,122.6,1
1E-2_16,142.4,100.8,1
1E-3_01,180.9,100.8,1
1E-3_02,206.4,69.3,1
1E-3_03,206.3,73.4,1
1E-3_05,206.3,82.2,1
1E-3_06,197.7,82.2,1
1E-3_07,188.4,82.3,1
1E-3_09,188.3,73.4,1
1E-3_10,188.5,69.3,1
1E-3_11,183.8,66.3,1
1E-3_13,194.3,52.2,1
1E-3_14,190.8,48.3,1
1E-3_15,186.5,52.3,1
1E-3_16,181.7,48,1
1E-4_01,209.9,66.2,1
1W-3_05,114.9,130.7,2
1W-3_06,115.6,129.2,2
1W-3_07,116.4,130.7,2
1W-3_08,105.6,187.2,2
1W-3_09,106.7,185.2,2
1W-3_10,107.6,187.3,2
1W-3_11,45,200.3,2
1W-3_12,46.2,198.3,2
1W-3_13,47.5,200.5,2
1W-3_14,63.7,122.4,2
1W-3_15,64.6,120.7,2
1W-3_16,65.3,122.5,2
1W-4_01,64.5,153.1,2
1W-4_02,90.5,137.1,2
1W-4_03,100.2,169.8,2
1W-4_04,46.5,35.8,2
1W-4_05,47.1,34.3,2
1W-4_06,47.9,35.9,2
1W-4_07,78.4,49.4,2
1W-4_08,80.8,51.8,2
1E-4_02,139.5,40.9,2
1E-4_03,140.3,39.3,2
1E-4_04,140.8,40.9,2
1E-4_05,236,50.1,2
1E-4_06,236.8,48.4,2
1E-4_07,237.7,50.1,2
1E-4_08,220,120.6,2
1E-4_09,220.8,119,2
1E-4_10,221.7,120.8,2
1E-4_11,156.9,120,2
1E-4_12,157.6,118.7,2
1E-4_13,158.2,120.4,2
1E-4_14,164.8,75.8,2
1E-4_15,165.7,73.9,2
1E-4_16,166.6,75.9,2
1E-5_01,197,66.6,2
1E-5_02,149.6,102.4,2
1E-5_03,181.8,96.9,2
4W-2_01,109.6,132.9,3
4W-2_02,110.5,131,3
4W-2_03,111.7,133,3
4W-2_04,104.4,189.1,3
4W-2_05,105.2,187.2,3
4W-2_06,106.2,189,3
4W-2_07,40.6,202.3,3
4W-2_08,41.7,200.5,3
4W-2_09,42.7,202.3,3
4W-2_10,63.5,131.9,3
4W-2_11,64.5,129.7,3
4W-2_12,65.7,131.8,3
4W-2_13,64.6,155.4,3
4W-2_14,87.7,140,3
4W-2_15,90.8,171.5,3
4W-2_16,41.3,38,3
4W-3_01,42.1,36.4,3
4W-3_02,42.8,38,3
4W-3_03,75.7,50.7,3
4W-3_04,78,53,3
3E-2_01,136.4,43,3
3E-2_02,137.4,41.1,3
3E-2_03,138.2,43.1,3
3E-2_07,230.4,52.1,3
3E-2_08,231.4,50,3
3E-2_09,232.5,52.3,3
3E-2_10,214.8,122.6,3
3E-2_11,215.7,120.6,3
3E-2_12,216.5,122.6,3
3E-2_13,152.2,121.1,3
